Call,Response,Count,KB,Details
can you book a table at resto_paris_cheap_indian_1stars,great let me do the reservation,160,<KB> resto_paris_cheap_indian_1stars, <R_cuisine> indian <R_address> resto_paris_cheap_indian_1stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,161,,
can you book a table at resto_london_cheap_italian_3stars,great let me do the reservation,161,<KB> resto_london_cheap_italian_3stars, <R_cuisine> italian <R_address> resto_london_cheap_italian_3stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 3 
hello,hello what can i help you with today,162,,
i'd like to book a table at resto_madrid_expensive_british_3stars,great let me do the reservation,162,<KB> resto_madrid_expensive_british_3stars, <R_cuisine> british <R_address> resto_madrid_expensive_british_3stars_address <R_location> madrid <R_number> four <R_price> expensive <R_rating> 3 
good morning,hello what can i help you with today,163,,
i'd like to book a table at resto_paris_expensive_british_5stars,great let me do the reservation,163,<KB> resto_paris_expensive_british_5stars, <R_cuisine> british <R_address> resto_paris_expensive_british_5stars_address <R_location> paris <R_number> six <R_price> expensive <R_rating> 5 
hello,hello what can i help you with today,164,,
can you make a restaurant reservation at resto_bombay_cheap_spanish_2stars,great let me do the reservation,164,<KB> resto_bombay_cheap_spanish_2stars, <R_cuisine> spanish <R_address> resto_bombay_cheap_spanish_2stars_address <R_location> bombay <R_number> eight <R_price> cheap <R_rating> 2 
hello,hello what can i help you with today,165,,
can you make a restaurant reservation at resto_madrid_cheap_french_4stars,great let me do the reservation,165,<KB> resto_madrid_cheap_french_4stars, <R_cuisine> french <R_address> resto_madrid_cheap_french_4stars_address <R_location> madrid <R_number> six <R_price> cheap <R_rating> 4 
good morning,hello what can i help you with today,166,,
may i have a table at resto_rome_cheap_french_1stars,great let me do the reservation,166,<KB> resto_rome_cheap_french_1stars, <R_cuisine> french <R_address> resto_rome_cheap_french_1stars_address <R_location> rome <R_number> four <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,167,,
i'd like to book a table at resto_london_cheap_french_7stars,great let me do the reservation,167,<KB> resto_london_cheap_french_7stars, <R_cuisine> french <R_address> resto_london_cheap_french_7stars_address <R_location> london <R_number> two <R_price> cheap <R_rating> 7 
good morning,hello what can i help you with today,168,,
can you make a restaurant reservation at resto_paris_moderate_british_3stars,great let me do the reservation,168,<KB> resto_paris_moderate_british_3stars, <R_cuisine> british <R_address> resto_paris_moderate_british_3stars_address <R_location> paris <R_number> four <R_price> moderate <R_rating> 3 
good morning,hello what can i help you with today,169,,
can you make a restaurant reservation at resto_paris_moderate_spanish_8stars,great let me do the reservation,169,<KB> resto_paris_moderate_spanish_8stars, <R_cuisine> spanish <R_address> resto_paris_moderate_spanish_8stars_address <R_location> paris <R_number> two <R_price> moderate <R_rating> 8 
hello,hello what can i help you with today,170,,
can you book a table at resto_london_cheap_french_4stars,great let me do the reservation,170,<KB> resto_london_cheap_french_4stars, <R_cuisine> french <R_address> resto_london_cheap_french_4stars_address <R_location> london <R_number> two <R_price> cheap <R_rating> 4 
good morning,hello what can i help you with today,171,,
may i have a table at resto_rome_cheap_indian_2stars,great let me do the reservation,171,<KB> resto_rome_cheap_indian_2stars, <R_cuisine> indian <R_address> resto_rome_cheap_indian_2stars_address <R_location> rome <R_number> two <R_price> cheap <R_rating> 2 
good morning,hello what can i help you with today,172,,
i'd like to book a table at resto_rome_cheap_british_6stars,great let me do the reservation,172,<KB> resto_rome_cheap_british_6stars, <R_cuisine> british <R_address> resto_rome_cheap_british_6stars_address <R_location> rome <R_number> two <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,173,,
may i have a table at resto_madrid_expensive_british_7stars,great let me do the reservation,173,<KB> resto_madrid_expensive_british_7stars, <R_cuisine> british <R_address> resto_madrid_expensive_british_7stars_address <R_location> madrid <R_number> eight <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,174,,
can you make a restaurant reservation at resto_bombay_moderate_italian_1stars,great let me do the reservation,174,<KB> resto_bombay_moderate_italian_1stars, <R_cuisine> italian <R_address> resto_bombay_moderate_italian_1stars_address <R_location> bombay <R_number> four <R_price> moderate <R_rating> 1 
hi,hello what can i help you with today,175,,
can you book a table at resto_paris_cheap_spanish_3stars,great let me do the reservation,175,<KB> resto_paris_cheap_spanish_3stars, <R_cuisine> spanish <R_address> resto_paris_cheap_spanish_3stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 3 
hello,hello what can i help you with today,176,,
can you book a table at resto_rome_expensive_italian_7stars,great let me do the reservation,176,<KB> resto_rome_expensive_italian_7stars, <R_cuisine> italian <R_address> resto_rome_expensive_italian_7stars_address <R_location> rome <R_number> eight <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,177,,
can you make a restaurant reservation at resto_rome_cheap_british_3stars,great let me do the reservation,177,<KB> resto_rome_cheap_british_3stars, <R_cuisine> british <R_address> resto_rome_cheap_british_3stars_address <R_location> rome <R_number> eight <R_price> cheap <R_rating> 3 
good morning,hello what can i help you with today,178,,
i'd like to book a table at resto_london_cheap_british_8stars,great let me do the reservation,178,<KB> resto_london_cheap_british_8stars, <R_cuisine> british <R_address> resto_london_cheap_british_8stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,179,,
i'd like to book a table at resto_paris_moderate_british_3stars,great let me do the reservation,179,<KB> resto_paris_moderate_british_3stars, <R_cuisine> british <R_address> resto_paris_moderate_british_3stars_address <R_location> paris <R_number> four <R_price> moderate <R_rating> 3 
hello,hello what can i help you with today,180,,
may i have a table at resto_bombay_cheap_british_2stars,great let me do the reservation,180,<KB> resto_bombay_cheap_british_2stars, <R_cuisine> british <R_address> resto_bombay_cheap_british_2stars_address <R_location> bombay <R_number> two <R_price> cheap <R_rating> 2 
good morning,hello what can i help you with today,181,,
can you book a table at resto_rome_cheap_british_3stars,great let me do the reservation,181,<KB> resto_rome_cheap_british_3stars, <R_cuisine> british <R_address> resto_rome_cheap_british_3stars_address <R_location> rome <R_number> eight <R_price> cheap <R_rating> 3 
hi,hello what can i help you with today,182,,
i'd like to book a table at resto_london_cheap_indian_6stars,great let me do the reservation,182,<KB> resto_london_cheap_indian_6stars, <R_cuisine> indian <R_address> resto_london_cheap_indian_6stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,183,,
can you make a restaurant reservation at resto_london_cheap_british_7stars,great let me do the reservation,183,<KB> resto_london_cheap_british_7stars, <R_cuisine> british <R_address> resto_london_cheap_british_7stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 7 
hello,hello what can i help you with today,184,,
i'd like to book a table at resto_madrid_cheap_spanish_4stars,great let me do the reservation,184,<KB> resto_madrid_cheap_spanish_4stars, <R_cuisine> spanish <R_address> resto_madrid_cheap_spanish_4stars_address <R_location> madrid <R_number> four <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,185,,
can you book a table at resto_madrid_expensive_italian_2stars,great let me do the reservation,185,<KB> resto_madrid_expensive_italian_2stars, <R_cuisine> italian <R_address> resto_madrid_expensive_italian_2stars_address <R_location> madrid <R_number> two <R_price> expensive <R_rating> 2 
good morning,hello what can i help you with today,186,,
can you book a table at resto_london_moderate_french_1stars,great let me do the reservation,186,<KB> resto_london_moderate_french_1stars, <R_cuisine> french <R_address> resto_london_moderate_french_1stars_address <R_location> london <R_number> six <R_price> moderate <R_rating> 1 
good morning,hello what can i help you with today,187,,
can you make a restaurant reservation at resto_paris_expensive_british_2stars,great let me do the reservation,187,<KB> resto_paris_expensive_british_2stars, <R_cuisine> british <R_address> resto_paris_expensive_british_2stars_address <R_location> paris <R_number> six <R_price> expensive <R_rating> 2 
hi,hello what can i help you with today,188,,
can you book a table at resto_madrid_expensive_british_7stars,great let me do the reservation,188,<KB> resto_madrid_expensive_british_7stars, <R_cuisine> british <R_address> resto_madrid_expensive_british_7stars_address <R_location> madrid <R_number> eight <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,189,,
can you book a table at resto_london_cheap_british_7stars,great let me do the reservation,189,<KB> resto_london_cheap_british_7stars, <R_cuisine> british <R_address> resto_london_cheap_british_7stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,190,,
can you make a restaurant reservation at resto_london_moderate_british_7stars,great let me do the reservation,190,<KB> resto_london_moderate_british_7stars, <R_cuisine> british <R_address> resto_london_moderate_british_7stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,191,,
can you make a restaurant reservation at resto_madrid_cheap_italian_6stars,great let me do the reservation,191,<KB> resto_madrid_cheap_italian_6stars, <R_cuisine> italian <R_address> resto_madrid_cheap_italian_6stars_address <R_location> madrid <R_number> eight <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,192,,
can you book a table at resto_bombay_expensive_spanish_6stars,great let me do the reservation,192,<KB> resto_bombay_expensive_spanish_6stars, <R_cuisine> spanish <R_address> resto_bombay_expensive_spanish_6stars_address <R_location> bombay <R_number> six <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,193,,
can you book a table at resto_madrid_expensive_italian_7stars,great let me do the reservation,193,<KB> resto_madrid_expensive_italian_7stars, <R_cuisine> italian <R_address> resto_madrid_expensive_italian_7stars_address <R_location> madrid <R_number> two <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,194,,
can you book a table at resto_bombay_cheap_spanish_2stars,great let me do the reservation,194,<KB> resto_bombay_cheap_spanish_2stars, <R_cuisine> spanish <R_address> resto_bombay_cheap_spanish_2stars_address <R_location> bombay <R_number> eight <R_price> cheap <R_rating> 2 
hi,hello what can i help you with today,195,,
may i have a table at resto_rome_cheap_spanish_7stars,great let me do the reservation,195,<KB> resto_rome_cheap_spanish_7stars, <R_cuisine> spanish <R_address> resto_rome_cheap_spanish_7stars_address <R_location> rome <R_number> four <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,196,,
can you book a table at resto_bombay_moderate_british_1stars,great let me do the reservation,196,<KB> resto_bombay_moderate_british_1stars, <R_cuisine> british <R_address> resto_bombay_moderate_british_1stars_address <R_location> bombay <R_number> four <R_price> moderate <R_rating> 1 
hello,hello what can i help you with today,197,,
i'd like to book a table at resto_bombay_moderate_french_2stars,great let me do the reservation,197,<KB> resto_bombay_moderate_french_2stars, <R_cuisine> french <R_address> resto_bombay_moderate_french_2stars_address <R_location> bombay <R_number> four <R_price> moderate <R_rating> 2 
hi,hello what can i help you with today,198,,
may i have a table at resto_london_cheap_british_7stars,great let me do the reservation,198,<KB> resto_london_cheap_british_7stars, <R_cuisine> british <R_address> resto_london_cheap_british_7stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 7 
good morning,hello what can i help you with today,199,,
may i have a table at resto_london_moderate_italian_5stars,great let me do the reservation,199,<KB> resto_london_moderate_italian_5stars, <R_cuisine> italian <R_address> resto_london_moderate_italian_5stars_address <R_location> london <R_number> four <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,200,,
can you make a restaurant reservation at resto_paris_expensive_british_8stars,great let me do the reservation,200,<KB> resto_paris_expensive_british_8stars, <R_cuisine> british <R_address> resto_paris_expensive_british_8stars_address <R_location> paris <R_number> two <R_price> expensive <R_rating> 8 
hi,hello what can i help you with today,201,,
can you book a table at resto_madrid_expensive_spanish_8stars,great let me do the reservation,201,<KB> resto_madrid_expensive_spanish_8stars, <R_cuisine> spanish <R_address> resto_madrid_expensive_spanish_8stars_address <R_location> madrid <R_number> six <R_price> expensive <R_rating> 8 
hi,hello what can i help you with today,202,,
i'd like to book a table at resto_paris_moderate_spanish_2stars,great let me do the reservation,202,<KB> resto_paris_moderate_spanish_2stars, <R_cuisine> spanish <R_address> resto_paris_moderate_spanish_2stars_address <R_location> paris <R_number> four <R_price> moderate <R_rating> 2 
hi,hello what can i help you with today,203,,
i'd like to book a table at resto_madrid_cheap_italian_4stars,great let me do the reservation,203,<KB> resto_madrid_cheap_italian_4stars, <R_cuisine> italian <R_address> resto_madrid_cheap_italian_4stars_address <R_location> madrid <R_number> six <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,204,,
can you make a restaurant reservation at resto_bombay_cheap_french_6stars,great let me do the reservation,204,<KB> resto_bombay_cheap_french_6stars, <R_cuisine> french <R_address> resto_bombay_cheap_french_6stars_address <R_location> bombay <R_number> eight <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,205,,
can you make a restaurant reservation at resto_madrid_cheap_indian_5stars,great let me do the reservation,205,<KB> resto_madrid_cheap_indian_5stars, <R_cuisine> indian <R_address> resto_madrid_cheap_indian_5stars_address <R_location> madrid <R_number> four <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,206,,
can you make a restaurant reservation at resto_madrid_moderate_french_2stars,great let me do the reservation,206,<KB> resto_madrid_moderate_french_2stars, <R_cuisine> french <R_address> resto_madrid_moderate_french_2stars_address <R_location> madrid <R_number> six <R_price> moderate <R_rating> 2 
good morning,hello what can i help you with today,207,,
i'd like to book a table at resto_rome_expensive_british_6stars,great let me do the reservation,207,<KB> resto_rome_expensive_british_6stars, <R_cuisine> british <R_address> resto_rome_expensive_british_6stars_address <R_location> rome <R_number> four <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,208,,
can you make a restaurant reservation at resto_london_cheap_italian_8stars,great let me do the reservation,208,<KB> resto_london_cheap_italian_8stars, <R_cuisine> italian <R_address> resto_london_cheap_italian_8stars_address <R_location> london <R_number> two <R_price> cheap <R_rating> 8 
hi,hello what can i help you with today,209,,
can you make a restaurant reservation at resto_madrid_cheap_french_8stars,great let me do the reservation,209,<KB> resto_madrid_cheap_french_8stars, <R_cuisine> french <R_address> resto_madrid_cheap_french_8stars_address <R_location> madrid <R_number> four <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,210,,
can you book a table at resto_paris_expensive_spanish_2stars,great let me do the reservation,210,<KB> resto_paris_expensive_spanish_2stars, <R_cuisine> spanish <R_address> resto_paris_expensive_spanish_2stars_address <R_location> paris <R_number> eight <R_price> expensive <R_rating> 2 
hi,hello what can i help you with today,211,,
i'd like to book a table at resto_madrid_cheap_spanish_5stars,great let me do the reservation,211,<KB> resto_madrid_cheap_spanish_5stars, <R_cuisine> spanish <R_address> resto_madrid_cheap_spanish_5stars_address <R_location> madrid <R_number> eight <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,212,,
i'd like to book a table at resto_london_moderate_french_2stars,great let me do the reservation,212,<KB> resto_london_moderate_french_2stars, <R_cuisine> french <R_address> resto_london_moderate_french_2stars_address <R_location> london <R_number> two <R_price> moderate <R_rating> 2 
hello,hello what can i help you with today,213,,
may i have a table at resto_rome_cheap_french_1stars,great let me do the reservation,213,<KB> resto_rome_cheap_french_1stars, <R_cuisine> french <R_address> resto_rome_cheap_french_1stars_address <R_location> rome <R_number> four <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,214,,
can you make a restaurant reservation at resto_rome_moderate_spanish_8stars,great let me do the reservation,214,<KB> resto_rome_moderate_spanish_8stars, <R_cuisine> spanish <R_address> resto_rome_moderate_spanish_8stars_address <R_location> rome <R_number> four <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,215,,
can you make a restaurant reservation at resto_paris_expensive_italian_5stars,great let me do the reservation,215,<KB> resto_paris_expensive_italian_5stars, <R_cuisine> italian <R_address> resto_paris_expensive_italian_5stars_address <R_location> paris <R_number> four <R_price> expensive <R_rating> 5 
hello,hello what can i help you with today,216,,
can you book a table at resto_london_cheap_british_7stars,great let me do the reservation,216,<KB> resto_london_cheap_british_7stars, <R_cuisine> british <R_address> resto_london_cheap_british_7stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 7 
hello,hello what can i help you with today,217,,
can you make a restaurant reservation at resto_bombay_moderate_indian_7stars,great let me do the reservation,217,<KB> resto_bombay_moderate_indian_7stars, <R_cuisine> indian <R_address> resto_bombay_moderate_indian_7stars_address <R_location> bombay <R_number> six <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,218,,
i'd like to book a table at resto_bombay_cheap_french_5stars,great let me do the reservation,218,<KB> resto_bombay_cheap_french_5stars, <R_cuisine> french <R_address> resto_bombay_cheap_french_5stars_address <R_location> bombay <R_number> six <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,219,,
can you book a table at resto_bombay_moderate_british_7stars,great let me do the reservation,219,<KB> resto_bombay_moderate_british_7stars, <R_cuisine> british <R_address> resto_bombay_moderate_british_7stars_address <R_location> bombay <R_number> two <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,220,,
can you make a restaurant reservation at resto_london_cheap_french_5stars,great let me do the reservation,220,<KB> resto_london_cheap_french_5stars, <R_cuisine> french <R_address> resto_london_cheap_french_5stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,221,,
can you book a table at resto_madrid_moderate_indian_4stars,great let me do the reservation,221,<KB> resto_madrid_moderate_indian_4stars, <R_cuisine> indian <R_address> resto_madrid_moderate_indian_4stars_address <R_location> madrid <R_number> four <R_price> moderate <R_rating> 4 
good morning,hello what can i help you with today,222,,
may i have a table at resto_london_cheap_spanish_2stars,great let me do the reservation,222,<KB> resto_london_cheap_spanish_2stars, <R_cuisine> spanish <R_address> resto_london_cheap_spanish_2stars_address <R_location> london <R_number> two <R_price> cheap <R_rating> 2 
hi,hello what can i help you with today,223,,
i'd like to book a table at resto_paris_cheap_spanish_3stars,great let me do the reservation,223,<KB> resto_paris_cheap_spanish_3stars, <R_cuisine> spanish <R_address> resto_paris_cheap_spanish_3stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 3 
good morning,hello what can i help you with today,224,,
may i have a table at resto_rome_cheap_british_8stars,great let me do the reservation,224,<KB> resto_rome_cheap_british_8stars, <R_cuisine> british <R_address> resto_rome_cheap_british_8stars_address <R_location> rome <R_number> two <R_price> cheap <R_rating> 8 
hi,hello what can i help you with today,225,,
may i have a table at resto_paris_moderate_british_7stars,great let me do the reservation,225,<KB> resto_paris_moderate_british_7stars, <R_cuisine> british <R_address> resto_paris_moderate_british_7stars_address <R_location> paris <R_number> two <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,226,,
i'd like to book a table at resto_london_moderate_french_1stars,great let me do the reservation,226,<KB> resto_london_moderate_french_1stars, <R_cuisine> french <R_address> resto_london_moderate_french_1stars_address <R_location> london <R_number> six <R_price> moderate <R_rating> 1 
hi,hello what can i help you with today,227,,
can you make a restaurant reservation at resto_london_cheap_indian_4stars,great let me do the reservation,227,<KB> resto_london_cheap_indian_4stars, <R_cuisine> indian <R_address> resto_london_cheap_indian_4stars_address <R_location> london <R_number> six <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,228,,
can you make a restaurant reservation at resto_london_cheap_indian_4stars,great let me do the reservation,228,<KB> resto_london_cheap_indian_4stars, <R_cuisine> indian <R_address> resto_london_cheap_indian_4stars_address <R_location> london <R_number> six <R_price> cheap <R_rating> 4 
good morning,hello what can i help you with today,229,,
can you book a table at resto_bombay_moderate_indian_7stars,great let me do the reservation,229,<KB> resto_bombay_moderate_indian_7stars, <R_cuisine> indian <R_address> resto_bombay_moderate_indian_7stars_address <R_location> bombay <R_number> six <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,230,,
i'd like to book a table at resto_london_cheap_italian_6stars,great let me do the reservation,230,<KB> resto_london_cheap_italian_6stars, <R_cuisine> italian <R_address> resto_london_cheap_italian_6stars_address <R_location> london <R_number> two <R_price> cheap <R_rating> 6 
good morning,hello what can i help you with today,231,,
can you make a restaurant reservation at resto_rome_expensive_french_7stars,great let me do the reservation,231,<KB> resto_rome_expensive_french_7stars, <R_cuisine> french <R_address> resto_rome_expensive_french_7stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,232,,
can you book a table at resto_madrid_cheap_italian_1stars,great let me do the reservation,232,<KB> resto_madrid_cheap_italian_1stars, <R_cuisine> italian <R_address> resto_madrid_cheap_italian_1stars_address <R_location> madrid <R_number> four <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,233,,
i'd like to book a table at resto_madrid_expensive_spanish_3stars,great let me do the reservation,233,<KB> resto_madrid_expensive_spanish_3stars, <R_cuisine> spanish <R_address> resto_madrid_expensive_spanish_3stars_address <R_location> madrid <R_number> two <R_price> expensive <R_rating> 3 
hello,hello what can i help you with today,234,,
may i have a table at resto_paris_expensive_french_6stars,great let me do the reservation,234,<KB> resto_paris_expensive_french_6stars, <R_cuisine> french <R_address> resto_paris_expensive_french_6stars_address <R_location> paris <R_number> eight <R_price> expensive <R_rating> 6 
good morning,hello what can i help you with today,235,,
may i have a table at resto_bombay_expensive_british_7stars,great let me do the reservation,235,<KB> resto_bombay_expensive_british_7stars, <R_cuisine> british <R_address> resto_bombay_expensive_british_7stars_address <R_location> bombay <R_number> four <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,236,,
i'd like to book a table at resto_madrid_moderate_spanish_6stars,great let me do the reservation,236,<KB> resto_madrid_moderate_spanish_6stars, <R_cuisine> spanish <R_address> resto_madrid_moderate_spanish_6stars_address <R_location> madrid <R_number> two <R_price> moderate <R_rating> 6 
hi,hello what can i help you with today,237,,
may i have a table at resto_london_expensive_indian_8stars,great let me do the reservation,237,<KB> resto_london_expensive_indian_8stars, <R_cuisine> indian <R_address> resto_london_expensive_indian_8stars_address <R_location> london <R_number> eight <R_price> expensive <R_rating> 8 
hello,hello what can i help you with today,238,,
can you book a table at resto_rome_expensive_italian_6stars,great let me do the reservation,238,<KB> resto_rome_expensive_italian_6stars, <R_cuisine> italian <R_address> resto_rome_expensive_italian_6stars_address <R_location> rome <R_number> eight <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,239,,
can you make a restaurant reservation at resto_paris_cheap_spanish_3stars,great let me do the reservation,239,<KB> resto_paris_cheap_spanish_3stars, <R_cuisine> spanish <R_address> resto_paris_cheap_spanish_3stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 3 
hi,hello what can i help you with today,240,,
may i have a table at resto_bombay_expensive_spanish_7stars,great let me do the reservation,240,<KB> resto_bombay_expensive_spanish_7stars, <R_cuisine> spanish <R_address> resto_bombay_expensive_spanish_7stars_address <R_location> bombay <R_number> two <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,241,,
can you book a table at resto_london_moderate_british_7stars,great let me do the reservation,241,<KB> resto_london_moderate_british_7stars, <R_cuisine> british <R_address> resto_london_moderate_british_7stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,242,,
can you make a restaurant reservation at resto_rome_expensive_indian_3stars,great let me do the reservation,242,<KB> resto_rome_expensive_indian_3stars, <R_cuisine> indian <R_address> resto_rome_expensive_indian_3stars_address <R_location> rome <R_number> six <R_price> expensive <R_rating> 3 
hello,hello what can i help you with today,243,,
may i have a table at resto_rome_cheap_british_1stars,great let me do the reservation,243,<KB> resto_rome_cheap_british_1stars, <R_cuisine> british <R_address> resto_rome_cheap_british_1stars_address <R_location> rome <R_number> six <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,244,,
can you make a restaurant reservation at resto_madrid_cheap_french_7stars,great let me do the reservation,244,<KB> resto_madrid_cheap_french_7stars, <R_cuisine> french <R_address> resto_madrid_cheap_french_7stars_address <R_location> madrid <R_number> four <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,245,,
i'd like to book a table at resto_rome_expensive_italian_1stars,great let me do the reservation,245,<KB> resto_rome_expensive_italian_1stars, <R_cuisine> italian <R_address> resto_rome_expensive_italian_1stars_address <R_location> rome <R_number> six <R_price> expensive <R_rating> 1 
hi,hello what can i help you with today,246,,
i'd like to book a table at resto_bombay_expensive_indian_6stars,great let me do the reservation,246,<KB> resto_bombay_expensive_indian_6stars, <R_cuisine> indian <R_address> resto_bombay_expensive_indian_6stars_address <R_location> bombay <R_number> eight <R_price> expensive <R_rating> 6 
good morning,hello what can i help you with today,247,,
may i have a table at resto_bombay_expensive_french_3stars,great let me do the reservation,247,<KB> resto_bombay_expensive_french_3stars, <R_cuisine> french <R_address> resto_bombay_expensive_french_3stars_address <R_location> bombay <R_number> four <R_price> expensive <R_rating> 3 
good morning,hello what can i help you with today,248,,
can you book a table at resto_paris_expensive_british_1stars,great let me do the reservation,248,<KB> resto_paris_expensive_british_1stars, <R_cuisine> british <R_address> resto_paris_expensive_british_1stars_address <R_location> paris <R_number> two <R_price> expensive <R_rating> 1 
hello,hello what can i help you with today,249,,
may i have a table at resto_bombay_moderate_italian_8stars,great let me do the reservation,249,<KB> resto_bombay_moderate_italian_8stars, <R_cuisine> italian <R_address> resto_bombay_moderate_italian_8stars_address <R_location> bombay <R_number> four <R_price> moderate <R_rating> 8 
hello,hello what can i help you with today,250,,
may i have a table at resto_london_expensive_italian_4stars,great let me do the reservation,250,<KB> resto_london_expensive_italian_4stars, <R_cuisine> italian <R_address> resto_london_expensive_italian_4stars_address <R_location> london <R_number> six <R_price> expensive <R_rating> 4 
hi,hello what can i help you with today,251,,
can you book a table at resto_bombay_moderate_italian_8stars,great let me do the reservation,251,<KB> resto_bombay_moderate_italian_8stars, <R_cuisine> italian <R_address> resto_bombay_moderate_italian_8stars_address <R_location> bombay <R_number> four <R_price> moderate <R_rating> 8 
hi,hello what can i help you with today,252,,
can you book a table at resto_bombay_expensive_british_7stars,great let me do the reservation,252,<KB> resto_bombay_expensive_british_7stars, <R_cuisine> british <R_address> resto_bombay_expensive_british_7stars_address <R_location> bombay <R_number> four <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,253,,
can you book a table at resto_paris_moderate_french_5stars,great let me do the reservation,253,<KB> resto_paris_moderate_french_5stars, <R_cuisine> french <R_address> resto_paris_moderate_french_5stars_address <R_location> paris <R_number> six <R_price> moderate <R_rating> 5 
good morning,hello what can i help you with today,254,,
i'd like to book a table at resto_bombay_moderate_italian_8stars,great let me do the reservation,254,<KB> resto_bombay_moderate_italian_8stars, <R_cuisine> italian <R_address> resto_bombay_moderate_italian_8stars_address <R_location> bombay <R_number> four <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,255,,
can you make a restaurant reservation at resto_madrid_expensive_british_3stars,great let me do the reservation,255,<KB> resto_madrid_expensive_british_3stars, <R_cuisine> british <R_address> resto_madrid_expensive_british_3stars_address <R_location> madrid <R_number> four <R_price> expensive <R_rating> 3 
hello,hello what can i help you with today,256,,
can you book a table at resto_madrid_expensive_british_7stars,great let me do the reservation,256,<KB> resto_madrid_expensive_british_7stars, <R_cuisine> british <R_address> resto_madrid_expensive_british_7stars_address <R_location> madrid <R_number> eight <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,257,,
i'd like to book a table at resto_madrid_cheap_spanish_7stars,great let me do the reservation,257,<KB> resto_madrid_cheap_spanish_7stars, <R_cuisine> spanish <R_address> resto_madrid_cheap_spanish_7stars_address <R_location> madrid <R_number> eight <R_price> cheap <R_rating> 7 
good morning,hello what can i help you with today,258,,
i'd like to book a table at resto_madrid_cheap_italian_1stars,great let me do the reservation,258,<KB> resto_madrid_cheap_italian_1stars, <R_cuisine> italian <R_address> resto_madrid_cheap_italian_1stars_address <R_location> madrid <R_number> four <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,259,,
can you book a table at resto_paris_moderate_french_3stars,great let me do the reservation,259,<KB> resto_paris_moderate_french_3stars, <R_cuisine> french <R_address> resto_paris_moderate_french_3stars_address <R_location> paris <R_number> six <R_price> moderate <R_rating> 3 
good morning,hello what can i help you with today,260,,
may i have a table at resto_rome_expensive_french_6stars,great let me do the reservation,260,<KB> resto_rome_expensive_french_6stars, <R_cuisine> french <R_address> resto_rome_expensive_french_6stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 6 
good morning,hello what can i help you with today,261,,
